project_id,asset_id,project_name,asset_type,issue_type,district,corridor_or_location,latitude,longitude,condition,safety_risk,ada_accessibility_concern,equity_priority_area,community_concern_level,citizen_complaints_count,near_school,near_transit,crash_history_nearby,current_los,projected_los_no_build,expected_los_after_project,demand_growth_level,estimated_capital_cost,estimated_annual_om_cost,funding_gap,primary_funding_source,mtp_alignment,lrtp_alignment,complete_streets_alignment,vision_zero_alignment,ada_transition_plan_alignment,resilience_alignment,comp_plan_alignment,project_status,cip_phase,report_date,notes
CIP-0011,AST-00011,Roadway Improvement - Drainage ponding (District 3),Roadway,Drainage ponding,District 3,Sample Corridor 22,29.94016,-81.429526,Fair,High,Yes,No,Medium,5,Yes,No,No,B,C,D,High,250000,2470,210000,Unfunded,Moderate,Strong,Strong,Moderate,Moderate,Moderate,Weak,Design,Short-term 1-3 years,2025-11-05,Sample record for transportation CIP planning MVP.
CIP-0012,AST-00012,Bike Lane Improvement - Gap in network (District 4),Bike Lane,Gap in network,District 4,Sample Corridor 1,29.976086,-81.305119,Fair,High,Yes,No,High,1,Yes,Yes,No,B,E,B,High,2275000,69359,1730000,Unfunded,Strong,Moderate,Moderate,Moderate,Moderate,Weak,Moderate,Planning,Mid-term 4-7 years,2026-03-21,Sample record for transportation CIP planning MVP.
CIP-0013,AST-00013,Crosswalk Improvement - Faded markings (District 1),Crosswalk,Faded markings,District 1,Sample Corridor 3,30.032044,-81.387726,Fair,Low,Yes,No,Medium,4,No,Yes,No,A,D,C,Low,850000,9395,390000,Sales Tax,Moderate,Strong,Moderate,Moderate,Weak,Weak,Weak,Design,Short-term 1-3 years,2026-04-20,Sample record for transportation CIP planning MVP.
CIP-0014,AST-00014,Sidewalk Improvement - Gap/missing segment (District 5),Sidewalk,Gap/missing segment,District 5,Sample Corridor 8,30.113661,-81.420241,Poor,Medium,Yes,No,Medium,12,No,Yes,Yes,B,D,D,High,1525000,52546,330000,Local CIP,Weak,Strong,Moderate,Weak,Weak,Strong,Strong,Design,Long-term 8-15 years,2025-12-24,Sample record for transportation CIP planning MVP.
CIP-0015,AST-00015,Transit Stop Improvement - Missing shelter (District 1),Transit Stop,Missing shelter,District 1,Sample Corridor 6,29.919383,-81.325169,Fair,High,No,Yes,High,4,Yes,Yes,No,A,F,C,Medium,1475000,16268,1290000,Unfunded,Weak,Moderate,Weak,Moderate,Weak,Weak,Moderate,Planning,Short-term 1-3 years,2025-07-02,Sample record for transportation CIP planning MVP.
CIP-0016,AST-00016,Bike Lane Improvement - Surface damage (District 5),Bike Lane,Surface damage,District 5,Sample Corridor 25,29.961534,-81.174276,Good,High,Yes,Yes,High,12,No,No,No,B,C,B,Low,1250000,7819,810000,Federal Grant,Strong,Moderate,Moderate,Weak,Weak,Moderate,Moderate,Design,Short-term 1-3 years,2025-09-06,Sample record for transportation CIP planning MVP.
CIP-0017,AST-00017,Bridge/Structure Improvement - Deck condition (District 5),Bridge/Structure,Deck condition,District 5,Sample Corridor 3,30.044825,-81.431506,Poor,Medium,Yes,No,Low,3,Yes,No,No,D,C,D,High,1725000,23493,110000,Impact Fees,Strong,Weak,Moderate,Moderate,Strong,Moderate,Strong,Planning,Short-term 1-3 years,2025-08-24,Sample record for transportation CIP planning MVP.
CIP-0018,AST-00018,Sidewalk Improvement - Narrow width (District 3),Sidewalk,Narrow width,District 3,Sample Corridor 4,30.053046,-81.260802,Fair,Medium,Yes,No,Low,12,Yes,No,No,A,E,D,Low,2175000,43931,1150000,Federal Grant,Moderate,Strong,Strong,Weak,Weak,Moderate,Moderate,Design,Short-term 1-3 years,2025-06-23,Sample record for transportation CIP planning MVP.
CIP-0019,AST-00019,Bridge/Structure Improvement - Approach sidewalk gap (District 1),Bridge/Structure,Approach sidewalk gap,District 1,Sample Corridor 12,29.937846,-81.198642,Fair,Low,Yes,No,Medium,8,No,Yes,No,C,C,C,Low,2275000,62612,1010000,Local CIP,Strong,Weak,Weak,Strong,Weak,Weak,Moderate,Construction Ready,Short-term 1-3 years,2025-10-25,Sample record for transportation CIP planning MVP.
CIP-0020,AST-00020,Roadway Improvement - Rutting (District 1),Roadway,Rutting,District 1,Sample Corridor 4,29.892904,-81.264646,Fair,Low,No,No,Low,5,No,No,Yes,F,F,B,High,900000,5835,520000,State Grant,Strong,Weak,Strong,Moderate,Strong,Moderate,Weak,ROW/Permitting,Mid-term 4-7 years,2025-12-04,Sample record for transportation CIP planning MVP.
CIP-0021,AST-00021,Crosswalk Improvement - Poor visibility (District 3),Crosswalk,Poor visibility,District 3,Sample Corridor 21,29.939666,-81.314709,Fair,Low,Yes,Yes,Medium,10,No,No,No,D,F,B,Medium,1300000,16019,220000,Federal Grant,Moderate,Moderate,Moderate,Strong,Weak,Weak,Strong,ROW/Permitting,Mid-term 4-7 years,2025-08-02,Sample record for transportation CIP planning MVP.
CIP-0022,AST-00022,Curb Ramp Improvement - Missing ramp (District 3),Curb Ramp,Missing ramp,District 3,Sample Corridor 25,29.895515,-81.372295,Poor,Low,Yes,No,High,3,Yes,No,No,F,F,D,High,1100000,33506,20000,MPO/TPO Funds,Weak,Strong,Strong,Moderate,Moderate,Weak,Moderate,Construction Ready,Mid-term 4-7 years,2025-09-10,Sample record for transportation CIP planning MVP.
CIP-0023,AST-00023,Curb Ramp Improvement - Missing tactile (District 2),Curb Ramp,Missing tactile,District 2,Sample Corridor 5,30.010591,-81.259019,Poor,High,Yes,No,Medium,12,No,Yes,Yes,E,C,C,High,500000,11897,330000,Sales Tax,Moderate,Strong,Weak,Moderate,Strong,Weak,Moderate,Construction Ready,Short-term 1-3 years,2026-04-22,Sample record for transportation CIP planning MVP.
CIP-0024,AST-00024,Bike Lane Improvement - Blocked lane (District 4),Bike Lane,Blocked lane,District 4,Sample Corridor 11,30.041144,-81.202543,Fair,Low,Yes,Yes,Medium,4,Yes,Yes,No,F,F,A,Medium,900000,22518,470000,MPO/TPO Funds,Moderate,Strong,Strong,Moderate,Moderate,Weak,Moderate,Construction Ready,Short-term 1-3 years,2026-01-12,Sample record for transportation CIP planning MVP.
CIP-0025,AST-00025,Roadway Improvement - Potholes (District 3),Roadway,Potholes,District 3,Sample Corridor 27,29.928483,-81.319768,Fair,High,Yes,No,Medium,2,No,No,No,A,D,D,Low,2475000,14129,1520000,MPO/TPO Funds,Moderate,Strong,Weak,Moderate,Strong,Weak,Weak,Candidate,Short-term 1-3 years,2025-11-10,Sample record for transportation CIP planning MVP.
CIP-0026,AST-00026,Curb Ramp Improvement - Steep ramp (District 5),Curb Ramp,Steep ramp,District 5,Sample Corridor 15,29.887973,-81.26396,Fair,Medium,Yes,Yes,Low,4,Yes,No,No,E,D,D,Medium,2400000,71153,2100000,Unfunded,Moderate,Weak,Moderate,Moderate,Strong,Weak,Moderate,ROW/Permitting,Short-term 1-3 years,2025-06-08,Sample record for transportation CIP planning MVP.
CIP-0027,AST-00027,Roadway Improvement - Potholes (District 4),Roadway,Potholes,District 4,Sample Corridor 13,29.888714,-81.432478,Poor,Medium,Yes,No,Low,4,No,No,Yes,F,E,C,Medium,150000,3997,90000,Unfunded,Strong,Strong,Weak,Weak,Moderate,Strong,Strong,ROW/Permitting,Mid-term 4-7 years,2025-09-19,Sample record for transportation CIP planning MVP.
CIP-0028,AST-00028,Bridge/Structure Improvement - Drainage issue (District 2),Bridge/Structure,Drainage issue,District 2,Sample Corridor 6,29.882176,-81.189304,Fair,High,Yes,No,Low,5,No,No,No,E,D,D,High,1600000,19870,160000,Sales Tax,Weak,Moderate,Moderate,Strong,Strong,Strong,Moderate,Candidate,Short-term 1-3 years,2026-03-09,Sample record for transportation CIP planning MVP.
CIP-0029,AST-00029,Roadway Improvement - Drainage ponding (District 4),Roadway,Drainage ponding,District 4,Sample Corridor 8,29.913233,-81.320941,Poor,Low,Yes,No,Low,4,No,No,No,B,F,B,Low,575000,6937,180000,Impact Fees,Weak,Weak,Moderate,Weak,Moderate,Moderate,Weak,ROW/Permitting,Short-term 1-3 years,2026-03-06,Sample record for transportation CIP planning MVP.
CIP-0030,AST-00030,Sidewalk Improvement - Narrow width (District 2),Sidewalk,Narrow width,District 2,Sample Corridor 30,29.973469,-81.204473,Good,Low,Yes,No,Low,1,No,No,No,C,C,A,Medium,1450000,38122,890000,MPO/TPO Funds,Weak,Moderate,Weak,Strong,Weak,Moderate,Strong,Candidate,Mid-term 4-7 years,2025-09-30,Sample record for transportation CIP planning MVP.
CIP-0031,AST-00031,Transit Stop Improvement - Missing shelter (District 2),Transit Stop,Missing shelter,District 2,Sample Corridor 10,29.899484,-81.441189,Fair,Medium,Yes,No,Medium,2,No,Yes,Yes,F,E,D,High,2000000,50068,1060000,Local CIP,Moderate,Moderate,Moderate,Moderate,Strong,Strong,Moderate,Planning,Mid-term 4-7 years,2025-10-02,Sample record for transportation CIP planning MVP.
CIP-0032,AST-00032,Curb Ramp Improvement - Missing tactile (District 4),Curb Ramp,Missing tactile,District 4,Sample Corridor 14,29.908385,-81.424663,Fair,Medium,Yes,Yes,Medium,8,Yes,No,No,E,D,B,Medium,525000,5173,100000,Local CIP,Weak,Moderate,Strong,Strong,Weak,Weak,Strong,ROW/Permitting,Mid-term 4-7 years,2026-03-31,Sample record for transportation CIP planning MVP.
CIP-0033,AST-00033,Bike Lane Improvement - Gap in network (District 1),Bike Lane,Gap in network,District 1,Sample Corridor 20,30.052054,-81.200482,Fair,High,No,No,Low,10,Yes,Yes,No,E,D,D,Medium,2300000,21813,1850000,Unfunded,Strong,Weak,Moderate,Strong,Weak,Strong,Weak,Construction Ready,Mid-term 4-7 years,2025-07-20,Sample record for transportation CIP planning MVP.
CIP-0034,AST-00034,Bridge/Structure Improvement - Approach sidewalk gap (District 4),Bridge/Structure,Approach sidewalk gap,District 4,Sample Corridor 19,29.942315,-81.341021,Fair,Medium,Yes,Yes,Medium,10,No,No,No,D,D,D,Medium,1000000,7013,450000,State Grant,Moderate,Strong,Moderate,Strong,Weak,Weak,Strong,Design,Long-term 8-15 years,2025-08-09,Sample record for transportation CIP planning MVP.
CIP-0035,AST-00035,Sidewalk Improvement - Surface damage (District 5),Sidewalk,Surface damage,District 5,Sample Corridor 21,30.117717,-81.411868,Poor,High,Yes,Yes,High,10,No,No,No,F,D,A,High,1225000,28558,320000,MPO/TPO Funds,Moderate,Strong,Strong,Moderate,Weak,Strong,Moderate,Construction Ready,Mid-term 4-7 years,2025-06-16,Sample record for transportation CIP planning MVP.
CIP-0036,AST-00036,Bike Lane Improvement - Surface damage (District 3),Bike Lane,Surface damage,District 3,Sample Corridor 2,29.929736,-81.33703,Fair,Medium,No,No,Low,4,Yes,No,No,C,F,A,Medium,1200000,25285,500000,Sales Tax,Strong,Moderate,Strong,Moderate,Moderate,Strong,Moderate,Planning,Long-term 8-15 years,2026-04-03,Sample record for transportation CIP planning MVP.
CIP-0037,AST-00037,Crosswalk Improvement - Poor visibility (District 3),Crosswalk,Poor visibility,District 3,Sample Corridor 28,30.026468,-81.264164,Fair,Low,Yes,Yes,Medium,8,No,No,Yes,D,D,A,Low,2050000,10410,900000,Federal Grant,Weak,Moderate,Weak,Moderate,Moderate,Weak,Strong,ROW/Permitting,Short-term 1-3 years,2026-02-18,Sample record for transportation CIP planning MVP.
CIP-0038,AST-00038,Sidewalk Improvement - Gap/missing segment (District 2),Sidewalk,Gap/missing segment,District 2,Sample Corridor 4,29.895917,-81.409486,Fair,Medium,Yes,Yes,High,5,No,No,No,E,F,B,Low,1450000,7267,150000,Impact Fees,Weak,Weak,Weak,Strong,Weak,Moderate,Strong,Planning,Short-term 1-3 years,2025-09-28,Sample record for transportation CIP planning MVP.
CIP-0039,AST-00039,Curb Ramp Improvement - Missing ramp (District 5),Curb Ramp,Missing ramp,District 5,Sample Corridor 17,29.957346,-81.365925,Good,High,Yes,Yes,Medium,10,Yes,No,Yes,A,E,B,Medium,575000,5001,470000,Sales Tax,Strong,Moderate,Weak,Moderate,Strong,Moderate,Strong,Design,Mid-term 4-7 years,2025-06-03,Sample record for transportation CIP planning MVP.
CIP-0040,AST-00040,Curb Ramp Improvement - Missing tactile (District 5),Curb Ramp,Missing tactile,District 5,Sample Corridor 6,29.945092,-81.383889,Poor,High,No,Yes,Medium,15,Yes,No,No,F,F,D,High,50000,1296,0,State Grant,Strong,Moderate,Strong,Strong,Moderate,Moderate,Moderate,Planning,Short-term 1-3 years,2026-04-11,Sample record for transportation CIP planning MVP.
CIP-0041,AST-00041,Sidewalk Improvement - Surface damage (District 1),Sidewalk,Surface damage,District 1,Sample Corridor 30,29.920453,-81.176326,Poor,Low,Yes,No,Low,1,No,Yes,No,C,D,A,High,2000000,55346,980000,Local CIP,Moderate,Moderate,Weak,Strong,Strong,Strong,Weak,Design,Mid-term 4-7 years,2026-03-07,Sample record for transportation CIP planning MVP.
CIP-0042,AST-00042,Curb Ramp Improvement - Missing tactile (District 2),Curb Ramp,Missing tactile,District 2,Sample Corridor 11,29.964129,-81.376875,Fair,High,Yes,No,High,15,No,No,No,A,F,A,Medium,950000,26781,440000,State Grant,Strong,Moderate,Weak,Strong,Weak,Strong,Weak,Candidate,Long-term 8-15 years,2026-01-14,Sample record for transportation CIP planning MVP.
CIP-0043,AST-00043,Crosswalk Improvement - Faded markings (District 1),Crosswalk,Faded markings,District 1,Sample Corridor 16,29.903922,-81.255342,Poor,High,Yes,No,Medium,15,No,Yes,Yes,F,D,D,Low,1125000,37306,980000,Local CIP,Moderate,Strong,Moderate,Weak,Weak,Weak,Strong,Candidate,Mid-term 4-7 years,2025-06-01,Sample record for transportation CIP planning MVP.
CIP-0044,AST-00044,Sidewalk Improvement - Obstruction (District 2),Sidewalk,Obstruction,District 2,Sample Corridor 9,29.987015,-81.297418,Good,High,Yes,No,Low,15,No,No,No,C,E,B,High,975000,18046,700000,Sales Tax,Moderate,Moderate,Strong,Weak,Weak,Weak,Strong,Planning,Long-term 8-15 years,2026-01-19,Sample record for transportation CIP planning MVP.
CIP-0045,AST-00045,Crosswalk Improvement - Poor visibility (District 5),Crosswalk,Poor visibility,District 5,Sample Corridor 24,29.918996,-81.380677,Fair,Medium,Yes,Yes,Low,1,Yes,No,Yes,B,D,C,High,500000,9023,120000,Local CIP,Strong,Weak,Weak,Moderate,Weak,Moderate,Strong,Planning,Long-term 8-15 years,2025-06-08,Sample record for transportation CIP planning MVP.
CIP-0046,AST-00046,Crosswalk Improvement - Unsafe crossing (District 1),Crosswalk,Unsafe crossing,District 1,Sample Corridor 9,30.030927,-81.33668,Poor,High,Yes,No,Medium,8,No,No,No,F,D,B,Medium,475000,8843,200000,Federal Grant,Strong,Weak,Moderate,Strong,Strong,Moderate,Moderate,ROW/Permitting,Mid-term 4-7 years,2025-09-06,Sample record for transportation CIP planning MVP.
CIP-0047,AST-00047,Sidewalk Improvement - Narrow width (District 5),Sidewalk,Narrow width,District 5,Sample Corridor 22,30.112549,-81.398743,Fair,High,Yes,No,High,0,No,Yes,No,B,E,A,High,2175000,40680,520000,Sales Tax,Moderate,Weak,Strong,Moderate,Weak,Moderate,Moderate,Planning,Mid-term 4-7 years,2025-08-07,Sample record for transportation CIP planning MVP.
CIP-0048,AST-00048,Bridge/Structure Improvement - Deck condition (District 5),Bridge/Structure,Deck condition,District 5,Sample Corridor 21,29.894155,-81.37318,Fair,Low,No,No,Medium,5,No,Yes,Yes,D,D,D,Medium,1150000,11426,990000,Local CIP,Strong,Strong,Moderate,Moderate,Weak,Strong,Moderate,ROW/Permitting,Mid-term 4-7 years,2025-11-28,Sample record for transportation CIP planning MVP.
CIP-0049,AST-00049,Bridge/Structure Improvement - Rail/guard issue (District 4),Bridge/Structure,Rail/guard issue,District 4,Sample Corridor 26,30.092667,-81.375121,Fair,Medium,No,No,Medium,4,No,No,No,D,F,A,Medium,1150000,18253,380000,Unfunded,Moderate,Weak,Moderate,Moderate,Strong,Moderate,Moderate,Construction Ready,Short-term 1-3 years,2025-05-26,Sample record for transportation CIP planning MVP.
CIP-0050,AST-00050,Sidewalk Improvement - Gap/missing segment (District 1),Sidewalk,Gap/missing segment,District 1,Sample Corridor 10,29.942507,-81.421577,Good,Low,No,No,Low,8,No,Yes,No,E,C,C,Low,2100000,54145,1350000,Local CIP,Strong,Moderate,Strong,Moderate,Weak,Weak,Weak,ROW/Permitting,Long-term 8-15 years,2026-03-29,Sample record for transportation CIP planning MVP.
CIP-0051,AST-00051,Roadway Improvement - Drainage ponding (District 2),Roadway,Drainage ponding,District 2,Sample Corridor 16,29.941642,-81.403907,Fair,High,Yes,No,Medium,15,No,Yes,No,D,F,A,Low,2250000,35575,1650000,Local CIP,Weak,Weak,Strong,Strong,Strong,Weak,Moderate,Planning,Short-term 1-3 years,2026-01-08,Sample record for transportation CIP planning MVP.
CIP-0052,AST-00052,Transit Stop Improvement - Unsafe crossing access (District 2),Transit Stop,Unsafe crossing access,District 2,Sample Corridor 4,30.095423,-81.347476,Fair,Medium,Yes,Yes,Low,4,No,No,Yes,D,F,C,Medium,1100000,14466,640000,Federal Grant,Strong,Strong,Strong,Moderate,Weak,Weak,Moderate,Candidate,Short-term 1-3 years,2025-10-05,Sample record for transportation CIP planning MVP.
CIP-0053,AST-00053,Transit Stop Improvement - Unsafe crossing access (District 5),Transit Stop,Unsafe crossing access,District 5,Sample Corridor 2,29.979621,-81.41962,Good,High,Yes,No,Low,12,No,No,No,F,C,B,Low,1850000,44414,1600000,Unfunded,Weak,Strong,Strong,Moderate,Weak,Strong,Weak,Planning,Mid-term 4-7 years,2025-07-14,Sample record for transportation CIP planning MVP.
CIP-0054,AST-00054,Transit Stop Improvement - Missing shelter (District 3),Transit Stop,Missing shelter,District 3,Sample Corridor 14,29.88856,-81.44429,Fair,Medium,No,No,Low,1,No,No,No,D,F,A,Low,600000,9968,370000,Sales Tax,Strong,Moderate,Moderate,Weak,Moderate,Weak,Weak,Candidate,Mid-term 4-7 years,2026-04-25,Sample record for transportation CIP planning MVP.
CIP-0055,AST-00055,Sidewalk Improvement - Surface damage (District 1),Sidewalk,Surface damage,District 1,Sample Corridor 28,29.910337,-81.317747,Fair,Medium,Yes,No,High,5,No,No,No,F,C,C,Medium,700000,18393,290000,Sales Tax,Strong,Moderate,Strong,Strong,Weak,Weak,Strong,Construction Ready,Short-term 1-3 years,2025-10-10,Sample record for transportation CIP planning MVP.
CIP-0056,AST-00056,Crosswalk Improvement - Poor visibility (District 5),Crosswalk,Poor visibility,District 5,Sample Corridor 28,30.088729,-81.279495,Fair,High,No,No,Low,1,No,No,No,D,F,D,High,550000,10220,170000,Unfunded,Strong,Moderate,Moderate,Moderate,Strong,Strong,Moderate,Construction Ready,Long-term 8-15 years,2026-04-20,Sample record for transportation CIP planning MVP.
CIP-0057,AST-00057,Bridge/Structure Improvement - Rail/guard issue (District 5),Bridge/Structure,Rail/guard issue,District 5,Sample Corridor 19,29.98714,-81.201325,Fair,High,Yes,No,Low,0,No,Yes,Yes,A,E,B,High,1000000,31016,730000,MPO/TPO Funds,Moderate,Strong,Strong,Strong,Strong,Weak,Weak,Construction Ready,Mid-term 4-7 years,2025-10-14,Sample record for transportation CIP planning MVP.
CIP-0058,AST-00058,Curb Ramp Improvement - Steep ramp (District 3),Curb Ramp,Steep ramp,District 3,Sample Corridor 2,30.049415,-81.31971,Good,Medium,No,No,Low,5,No,Yes,No,C,E,D,Medium,1950000,21559,540000,MPO/TPO Funds,Weak,Strong,Moderate,Moderate,Moderate,Strong,Strong,Planning,Short-term 1-3 years,2025-08-18,Sample record for transportation CIP planning MVP.
CIP-0059,AST-00059,Crosswalk Improvement - Faded markings (District 3),Crosswalk,Faded markings,District 3,Sample Corridor 15,30.076837,-81.406277,Fair,Medium,Yes,Yes,Low,15,No,No,Yes,C,F,A,High,2025000,56735,1550000,MPO/TPO Funds,Moderate,Weak,Weak,Weak,Weak,Weak,Moderate,ROW/Permitting,Mid-term 4-7 years,2026-03-26,Sample record for transportation CIP planning MVP.
CIP-0060,AST-00060,Bridge/Structure Improvement - Drainage issue (District 1),Bridge/Structure,Drainage issue,District 1,Sample Corridor 3,29.944298,-81.291947,Fair,High,No,Yes,High,5,No,No,Yes,A,E,C,Low,2275000,49105,70000,Unfunded,Strong,Moderate,Moderate,Strong,Strong,Moderate,Weak,Design,Short-term 1-3 years,2026-01-16,Sample record for transportation CIP planning MVP.
CIP-0061,AST-00061,Transit Stop Improvement - Missing shelter (District 5),Transit Stop,Missing shelter,District 5,Sample Corridor 15,30.069474,-81.420482,Fair,Medium,Yes,No,Low,3,No,No,No,D,D,A,Low,1900000,56971,190000,Impact Fees,Strong,Strong,Weak,Moderate,Weak,Strong,Strong,Candidate,Mid-term 4-7 years,2025-11-05,Sample record for transportation CIP planning MVP.
CIP-0062,AST-00062,Crosswalk Improvement - Missing crosswalk (District 4),Crosswalk,Missing crosswalk,District 4,Sample Corridor 21,29.971508,-81.357046,Poor,Low,Yes,No,Medium,2,No,No,Yes,C,E,C,High,375000,4807,60000,Federal Grant,Moderate,Moderate,Weak,Moderate,Moderate,Strong,Strong,Construction Ready,Mid-term 4-7 years,2025-12-02,Sample record for transportation CIP planning MVP.
CIP-0063,AST-00063,Sidewalk Improvement - Obstruction (District 2),Sidewalk,Obstruction,District 2,Sample Corridor 14,30.127755,-81.170536,Poor,Low,Yes,No,Low,4,Yes,No,No,E,E,B,Medium,1175000,33707,670000,Federal Grant,Weak,Moderate,Strong,Weak,Moderate,Weak,Weak,Planning,Long-term 8-15 years,2026-01-28,Sample record for transportation CIP planning MVP.
CIP-0064,AST-00064,Curb Ramp Improvement - Missing tactile (District 1),Curb Ramp,Missing tactile,District 1,Sample Corridor 24,30.00387,-81.373311,Good,Medium,Yes,No,Low,1,No,No,No,A,E,C,Medium,1950000,47142,1260000,Local CIP,Weak,Strong,Moderate,Strong,Weak,Weak,Strong,Design,Short-term 1-3 years,2026-02-03,Sample record for transportation CIP planning MVP.
CIP-0065,AST-00065,Transit Stop Improvement - Missing shelter (District 5),Transit Stop,Missing shelter,District 5,Sample Corridor 28,29.88116,-81.30445,Fair,Medium,Yes,No,High,5,No,No,No,A,E,A,High,1925000,38199,1310000,Local CIP,Moderate,Moderate,Weak,Strong,Weak,Weak,Weak,Design,Long-term 8-15 years,2026-04-12,Sample record for transportation CIP planning MVP.
CIP-0066,AST-00066,Sidewalk Improvement - Surface damage (District 2),Sidewalk,Surface damage,District 2,Sample Corridor 1,30.089333,-81.271686,Fair,Low,Yes,Yes,Low,2,Yes,Yes,No,E,E,A,Low,850000,14594,170000,Impact Fees,Moderate,Strong,Weak,Moderate,Strong,Weak,Strong,ROW/Permitting,Long-term 8-15 years,2025-09-24,Sample record for transportation CIP planning MVP.
CIP-0067,AST-00067,Bike Lane Improvement - Missing buffer (District 4),Bike Lane,Missing buffer,District 4,Sample Corridor 25,29.970814,-81.337802,Poor,High,No,No,High,0,No,Yes,No,C,D,D,Medium,175000,935,30000,Impact Fees,Weak,Moderate,Weak,Strong,Weak,Moderate,Moderate,ROW/Permitting,Long-term 8-15 years,2026-04-04,Sample record for transportation CIP planning MVP.
